Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
HYXU,8,0,0.00,0,0.00,53.09,8,0
SMI,8,0,0.00,0,0.00,49.66,8,0
FEDX,6,0,0.00,0,0.00,25.07,6,0
UAUG,5,0,0.00,0,0.00,29.11,5,0
VFLQ,5,0,0.00,0,0.00,112.04,5,0
VWID,5,0,0.00,0,0.00,28.63,5,0
BOB,4,0,0.00,0,0.00,26.30,4,0
LYFE,4,0,0.00,0,0.00,33.12,4,0
QSPT,4,0,0.00,0,0.00,20.74,4,0
UJUL,4,0,0.00,0,0.00,27.54,4,0
ADFI,3,0,0.00,0,0.00,9.45,3,0
PJUN,3,0,0.00,0,0.00,32.08,3,0
TMDV,3,0,0.00,0,0.00,50.30,3,0
VIRS,3,0,0.00,0,0.00,33.69,3,0
ACSI,2,0,0.00,0,0.00,51.73,2,0
AVDG,2,0,0.00,0,0.00,31.44,2,0
DFHY,2,0,0.00,0,0.00,24.37,2,0
EMDV,2,0,0.00,0,0.00,58.48,2,0
GSEE,2,0,0.00,0,0.00,51.47,2,0
HYIN,2,0,0.00,0,0.00,25.27,2,0
JMUB,2,0,0.00,0,0.00,54.41,2,0
RULE,2,0,0.00,0,0.00,24.55,2,0
CVAR,1,0,0.00,0,0.00,26.44,1,0
DBOC,1,0,0.00,0,0.00,29.87,1,0
EAOK,1,0,0.00,0,0.00,27.61,1,0
FSEP,1,0,0.00,0,0.00,35.63,1,0
MBBB,1,0,0.00,0,0.00,24.46,1,0
PBND,1,0,0.00,0,0.00,25.30,1,0
PSMJ,1,0,0.00,0,0.00,21.37,1,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
BGLD,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,0,0.00,0,0.00,0.00,0,0
DECZ,0,0,0.00,0,0.00,0.00,0,0
DMAR,0,0,0.00,0,0.00,0.00,0,0
DOCT,0,0,0.00,0,0.00,0.00,0,0
DSEP,0,0,0.00,0,0.00,0.00,0,0
DSOC,0,0,0.00,0,0.00,0.00,0,0
EAOR,0,0,0.00,0,0.00,0.00,0,0
EMSH,0,0,0.00,0,0.00,0.00,0,0
ESCR,0,0,0.00,0,0.00,0.00,0,0
ESEB,0,0,0.00,0,0.00,0.00,0,0
ESHY,0,0,0.00,0,0.00,0.00,0,0
